algorithm,length,ticks_per_second,total_ticks,robots,arena_size,seed,arena_type,maze_width,maze_height,scatter_size,scatter_density,num_agents,reached_count,reached_ratio,mean_time_sec,fastest_time_sec,slowest_time_sec,total_distance,obstacles_count,run_id
pso,1,2,2,6,10.0,85041,scatter,10,10,0.4193646401407872,0.3619002165968177,6,0,0.0,0,0,0,0.1030041210993474,160,272
projet,1,2,2,4,10.0,89792,scatter,10,10,1.965326343141717,0.28353404811793403,4,0,0.0,0,0,0,0.08291600240820504,10,31
flood_fill,1,2,2,1,10.0,48009,scatter,10,10,1.8042585095963648,0.3015263655155073,1,0,0.0,0,0,0,0.0791322821230377,11,11
coverage,1,2,2,4,10.0,37589,scatter,10,10,1.0101492977254243,0.11702996509071167,4,0,0.0,0,0,0,0.16088040080285362,15,416
projet,1,2,2,4,10.0,28972,scatter,10,10,1.9582948156179372,0.07470891378624622,4,0,0.0,0,0,0,0.07550336195414811,6,374
aco,1,2,2,2,10.0,17341,scatter,10,10,0.768094199155575,0.09739272555178181,2,0,0.0,0,0,0,0.1109975703545237,21,13
flood_fill,1,2,2,7,10.0,92861,scatter,10,10,0.7816985335151136,0.16716582840281827,7,0,0.0,0,0,0,0.5066861008822928,31,241
coverage,1,2,2,3,10.0,6955,scatter,10,10,0.9612019566771982,0.26071342240990786,3,0,0.0,0,0,0,0.13252506428608885,30,204
aco,1,2,2,6,10.0,9777,scatter,10,10,0.10137970526665185,0.2516962147860258,6,0,0.0,0,0,0,0.31965781799903314,2449,70
projet,1,2,2,8,10.0,91166,scatter,10,10,0.5312463341471886,0.8426779867038048,8,0,0.0,0,0,0,0.10874623079496139,104,448
coverage,1,2,2,10,10.0,558,scatter,10,10,0.10029451121297293,0.3173604137987729,10,0,0.0,0,0,0,0.4080221562291859,2792,237
coverage,1,2,2,1,10.0,4627,scatter,10,10,0.8130133387143342,0.3461792110075726,1,0,0.0,0,0,0,0.0,44,86
flood_fill,1,2,2,5,10.0,48311,scatter,10,10,0.4455778308438193,0.08859838978675941,5,0,0.0,0,0,0,0.3727378203741041,49,35
pso,1,2,2,5,10.0,63365,scatter,10,10,0.7442533831499466,0.07248531804599524,5,0,0.0,0,0,0,0.0948083473463595,17,474
coverage,1,2,2,8,10.0,61221,scatter,10,10,0.9555943910945868,0.4232480733734984,8,0,0.0,0,0,0,0.24646523032119225,32,167
aco,1,2,2,9,10.0,19410,scatter,10,10,0.2857863085498271,0.06992442329953491,9,0,0.0,0,0,0,0.5652188233396335,90,141
coverage,1,2,2,10,10.0,23254,scatter,10,10,1.7772266731743185,0.8217746482726367,10,0,0.0,0,0,0,0.5654976699388514,12,25
flood_fill,1,2,2,10,10.0,23688,scatter,10,10,0.1993390682719915,0.2337986137132235,10,0,0.0,0,0,0,0.4272153822017582,592,75
aco,1,2,2,4,10.0,30093,scatter,10,10,1.1599015171222253,0.5456083425033841,4,0,0.0,0,0,0,0.2615847850632911,20,125
aco,1,2,2,10,10.0,15047,scatter,10,10,0.8582691576586075,0.6372602273345799,10,0,0.0,0,0,0,0.4572955488632437,43,93
flood_fill,1,2,2,8,10.0,52182,scatter,10,10,0.31158677448016675,0.6354656073697,8,0,0.0,0,0,0,0.35119304388315137,297,292
pso,1,2,2,10,10.0,19727,scatter,10,10,1.2519510400507383,0.762125554083665,10,0,0.0,0,0,0,0.12871122975507773,20,36
aco,1,2,2,4,10.0,78568,scatter,10,10,1.9433939904170938,0.4145468262063159,4,0,0.0,0,0,0,0.28511771757549054,11,455
aco,1,2,2,6,10.0,90625,scatter,10,10,1.395349148886693,0.3094229128571456,6,0,0.0,0,0,0,0.32265417197452856,17,124
